"id","name","gng","etsng"
"329","Масло льняное сырое","15151100",""
"330","Масло кукурузное сырое,к.п.о.","15152190",""
"331","Масло касторовое и его фракции","15153000",""
"332","Масло касторовое и его фракции,к.п.о.","15153090",""
"333","Масло тунговое и его фракции","15154000",""
"334","Масло кунжутное и его фракции","15155000",""
"335","Жиры растительные и масла,кроме указанных в позициях 1515 11 - 1515 50","15159000",""
"336","Масла сырые,технические","15159040",""
"337","Масла и их фракции в твердом виде,упаковка до 1кг,к.п.о.","15159091",""
"338","Маргарин,пищевые смеси и готовые продукты из животных,растительных жиров и масел,кроме жиров позиции 1516","15170000",""
"339","Маргарин,кроме жидкого маргарина","15171000",""
"340","Смеси или готовые продукты из жиров,масел и их фракций,пищевые,кроме пищевых жиров позиции 1516","15179000",""
"341","Масла нелетучие растительные жидкие,смешанные,непищевые","15180039",""
"342","Глицерин сырой,глицериновая вода и глицериновый щелок","15200000",""
"343","Спермацет","15219010",""
"344","Воск пчелиный и воски других насекомых,кроме сырых","15219099",""
"345","Соапстоки с маслом со свойствами оливкового масла","15220031",""
"346","Остатки со свойствами оливкового масла после обработки жировых веществ,восков растительного,животного происхождения","15220039",""
"347","Колбасы,сухие или пастообразные,сырые","16010091",""
"348","Консервы и готовые продукты из домашних свиней,мясо и жир до 40%","16024950",""
"349","Консервы и готовые продукты из животных,кроме указанных в позициях 1602 10 - 1602 50","16029000",""
"350","Консервы и готовые продукты с мясом,субпродуктами или кровью крупного рогатого скота,к.п.о.","16029069",""
"351","Продукты готовые и консервированные,содержащие кровь,мясо или мясные субпродукты животных","16029098",""
"352","Экстракты из мяса,рыбы,ракообразных,моллюсков или прочих беспозвоночных,упаковка от 1кг","16030080",""
"353","Филе сельди,сырое,в тесте или панировке,глубоко замороженное","16041210",""
"354","Рыба готовая или консервированная,не фаршированная,","16041900",""
"355","Продукты готовые и консервированные из видов рыбы,не фаршированные,к.п.о.","16041998",""
"356","Продукты готовые или консервированные из рыбы,к.п.о.","16042090",""
"357","Икра осетровых рыб","16043010",""
"358","Ракообразные готовые или консервированные","16054000",""
"359","Сахар-сырец тростниковый в твердой форме,без добавок,для рафинирования","17011110",""
"360","Сахар белый","17019910",""
"361","Сахар и чистая сахароза в твердой форме,к.п.о.","17019990",""
"362","Сахара,химически чистые лактоза,мальтоза,глюкоза и фруктозу в твердой форме,сиропы,карамельный кулер","17020000",""
"363","Лактоза чистая и ее сироп,содержащие от 99% лактозы в сухом веществе","17021100",""
"364","Глюкоза и ее сироп с фруктозой 20 - 50% в сухом веществе,к.п.о.","17024090",""
"365","Мед искусственный","17029060","514070"
"366","Сахара чистые и их сиропы,к.п.о.","17029099",""
"367","Меласса","17039000",""
"368","Изделия кондитерские из сахара,без какао","17049000",""
"369","Изделия кондитерские в виде резинки и желе,включая фруктовую пасту,без какао,упаковка до 1кг","17049065",""
"370","Конфеты вареные с начинкой или без начинки,без какао,упаковка до 1кг","17049071",""
"371","Тоффи,карамели и подобные сладости,без какао,упаковка до 1кг","17049075",""
"372","Изделия кондитерские,без какао,прочие,кроме таблеток отпрессованных,упаковка до 1кг","17049099",""
"373","Какао-бобы,целые или дробленые,сырые или жареные","18010000",""
"374","Шелуха,оболочки,кожица и отходы какао","18020000",""
"375","Какао-порошок без добавок сахара или других подслащивающих веществ","18050000",""
"376","Конфеты шоколадные,с начинкой или без начинки,содержащие алкоголь","18069011",""
"377","Экстракты солодовые","19019019",""
"378","Изделия макаронные,подвергнутые или не подвергнутые тепловой обработке","19020000",""
"379","Изделия макаронные,без тепловой обработки,без начинки,содержащие яйца","19021100",""
"380","Тапиока и ее заменители из крахмала,в форме хлопьев,гранул,шариков,крупинок и в других подобных формах","19030000",""
"381","Продукты готовые,полученные путем вздувания или обжаривания зерна кукурузы","19041010",""
"382","Хлеб,мучные кондитерские изделия,пирожные,печенье и изделия,вафельные пластины,облатки,пустые капсулы,рисовая бумага","19050000",""
"383","Печенье сладкое сухое","19053100",""
"384","Печенье сухое","19053199",""
"385","Вафли и вафельные облатки","19053200",""
"386","Гренки и подобные обжаренные продукты","19054090",""
"387","Продукты,изготовленные из мучной или крахмальной тестообразной массы в форме диска или полоски","19059000",""
"388","Изделия хлебобулочные и кондитерские,с подслащивающими добавками","19059060",""
"389","Изделия хлебобулочные и кондитерские,без добавок","19059090",""
"390","Огурцы и корнишоны,консервированные уксусом","20011000",""
"391","Овощи,фрукты,орехи и другие съедобные части растений,кроме огурцов,консервированные уксусом","20019000",""
"392","Грибы,консервированные уксусом","20019050",""
"393","Томаты не очищенные целые или резанные на части,готовые или консервированные,без уксуса","20021090",""
"394","Томаты,готовые или консервированные,без уксуса","20029000",""
"395","Горох готовый или консервированный без уксуса,немороженый","20054000",""
"396","Маслины,приготовленные без уксуса,немороженые,к.п.о.","20057090",""
"397","Овощи и овощные смеси,приготовленные без уксуса,немороженые","20059000",""
"398","Смеси овощей,приготовленные без уксуса,немороженые","20059070",""
"399","Овощи и овощные смеси,приготовленные без уксуса,немороженые,к.п.о.","20059080",""
"400","Овощи,фрукты,орехи и другие части растений,консервированные сахаром","20060000",""
"401","Джемы,мармелады,пасты,пюре,желе гомогенизированные","20071000",""
"402","Джемы,мармелады,пасты,пюре,желе цитрусовые","20079100",""
"403","Джемы,мармелады,пасты,сахар от 30%,к.п.о.","20079939",""
"404","Груши,без сахара,без спиртовых добавок,упаковка от 4,5кг","20084091",""
"405","Смеси плодов без спиртовых добавок,без сахара,упаковка до 4,5кг","20089298",""
"406","Фрукты,сахар от 9%,спирт до 11,85%","20089928",""
"407","Соки фруктовые,виноградное сусло и соки овощные,несброженные,без спирта","20090000",""
"408","Сок томатный","20095000","584034"
"409","Сок виноградный,сусло,число Брикса до 30","20096100",""
"410","Сок виноградный","20096900",""
"411","Сок яблочный,число Брикса до 20","20097100",""
"412","Сок из плодов,числом Брикса до 67,стоимость до 30евро за 100кг,сахар до 30%","20098089",""
"413","Сок без сахара,число Брикса до 67","20098099",""
"414","Экстракты,эссенции и концентраты кофе","21011119",""
"415","Экстракты,эссенции и концентраты чая или мате и готовые продукты на их основе или на основе чая или мате","21012000",""
"416","Продукты готовые на основе чая или мате","21012098",""
"417","Цикорий обжаренный","21013011",""
"418","Заменители кофе обжаренные","21013019",""
"419","Дрожжи пекарные активные,","21021039",""
"420","Дрожжи активные","21021090",""
"421","Дрожжи неактивные","21022019",""
"422","Горчица пищевая готовая","21033090",""
"423","Продукты для приготовления соуса,готовые соусы,вкусовые добавки и приправы смешанные","21039090",""
"424","Супы сухие и бульоны готовые и заготовки для их приготовления","21041010",""
"425","Супы и бульоны готовые и заготовки для их приготовления","21041090",""
"426","Продукты гомогенизированные составные готовые","21042000",""
"427","Мороженое и виды пищевого льда,жир до 3%","21050010",""
"428","Продукты пищевые и полуфабрикаты,к.п.о.","21069098",""
"429","Воды природные минеральные","22011019",""
"430","Воды,включая природные или искусственные минеральные,газированные;лед и снег","22019000",""
"431","Воды,включая минеральные и газированные,с сахаром и вкусо-ароматическими веществами","22021000",""
"432","Напитки безалкогольные,кроме соков","22029000",""
"433","Пиво солодовое","22030000",""
"434","Пиво солодовое,емкость от 10л","22030010",""
"435","Вина игристые","22041099",""
"436","Вина,спирт до 13 об.%,емкость до 2л","22042180",""
